v110	v90	v70	v50	v20
-26.17	23.48	-8.99	-1.64	-1.51
-33.23	22.28	-7.09	-2.30	-1.18
-47.27	21.35	-7.80	-2.91	-1.43
-47.31	18.91	-6.33	-1.81	-1.15
-40.94	18.53	-5.83	-2.12	-1.34
-36.74	17.12	-5.98	-2.34	-0.92
-30.11	17.95	-10.07	-0.21	-0.93
-29.56	17.66	-13.03	-0.22	-0.80
-29.09	16.80	-12.29	-2.22	-0.85
-26.08	15.09	-7.95	-3.57	-0.77
-24.15	12.55	-3.75	-3.58	-0.98
-26.76	9.33	-3.94	-3.35	-1.11
-27.23	6.59	-3.01	-2.27	-0.90
-18.49	9.40	-6.01	-3.32	-1.09
-14.62	10.56	-4.77	-3.61	-1.06
-8.76	11.37	-5.77	-4.34	-1.05
-7.42	8.09	-6.24	-4.52	-0.84
-15.28	2.79	-7.09	-4.27	-0.98
-17.84	-1.23	-2.71	-2.96	-1.12
-19.76	-7.88	-2.57	-3.24	-0.85
-15.26	-6.77	-7.06	-3.51	-0.95
-4.00	-4.21	-5.67	-2.50	-0.83
2.46	-0.34	-5.64	-2.72	-0.74
6.60	-1.55	-5.42	-1.94	-0.80
6.22	-5.22	-5.13	-3.78	-0.64
2.44	-6.31	-3.19	-4.09	-0.56
3.93	-9.20	-3.58	-3.50	-0.49
7.88	-10.96	-5.79	-2.73	-0.42
11.31	-11.34	-6.98	-3.08	-0.40
11.02	-6.73	-6.45	-2.81	-0.28
6.43	-7.85	-5.43	-3.47	-0.34
1.27	-9.21	-2.43	-3.36	-0.48
-0.71	-11.61	-2.42	-2.20	-0.56
-2.90	-13.35	-5.81	-3.27	-0.41
4.58	-13.90	-8.24	-3.38	-0.37
13.21	-16.96	-6.04	-3.48	-0.43
19.01	-19.40	-5.26	-3.76	-0.46
26.28	-18.79	-4.15	-2.93	-0.43
22.41	-20.07	-5.94	-3.67	-0.56
24.39	-20.71	-7.54	-4.89	-0.48
23.00	-21.82	-10.16	-5.09	-0.47
16.40	-23.71	-9.53	-5.24	-0.52
10.81	-22.67	-8.27	-4.49	-0.50
18.32	-21.37	-6.72	-4.28	-0.27
22.59	-20.39	-3.85	-3.68	-0.38
24.35	-20.01	-3.10	-3.78	-0.51
23.52	-21.15	-7.24	-5.80	-0.36
24.61	-23.15	-8.93	-7.16	-0.33
23.48	-24.19	-10.73	-6.08	-0.39
22.51	-18.88	-9.73	-4.86	-0.44
19.20	-18.04	-9.78	-3.91	-0.36
20.50	-18.07	-7.91	-4.08	-0.34
20.38	-19.13	-8.73	-4.76	-0.39
16.83	-19.73	-9.07	-5.83	-0.55
13.52	-21.07	-9.72	-6.08	-0.51
15.67	-21.34	-10.18	-5.31	-0.47
16.95	-20.68	-10.72	-4.96	-0.52
18.81	-19.83	-9.42	-5.75	-0.37
13.79	-20.84	-8.86	-6.15	-0.49
6.24	-21.98	-7.86	-6.65	-0.31
3.96	-21.97	-6.23	-4.80	-0.44
7.51	-21.87	-9.80	-3.32	-0.52
8.55	-21.49	-10.93	-3.93	-0.50
6.17	-20.46	-10.08	-0.93	-0.36
-0.50	-19.75	-1.14	-0.57	-0.32
-2.02	-17.47	0.20	-0.65	-0.37
-2.75	-14.68	0.97	-0.56	-0.48
3.20	-15.20	1.68	0.31	-0.29
4.24	-17.92	2.05	0.50	-0.32
-2.02	-19.32	1.06	0.34	-0.51
-9.78	-17.40	0.05	0.54	-0.49
-14.88	-12.50	-0.86	-0.05	-0.48
-10.82	-7.07	-1.63	-0.42	-0.33
-7.80	-5.24	-2.56	-0.36	-0.35
-4.22	-8.24	-2.10	0.29	-0.23
-7.62	-11.58	-1.55	0.59	-0.26
-8.65	-12.71	-0.94	1.06	-0.30
-10.52	-9.95	-0.96	0.36	-0.34
-20.93	-7.52	-1.54	-0.07	-0.27
-20.84	-4.92	-3.15	0.51	-0.31
-19.35	-5.28	-4.22	0.48	-0.39
-16.31	-8.16	-3.85	0.11	-0.45
-17.41	-10.96	-3.15	-0.12	-0.37
-22.11	-10.15	-2.58	-0.31	-0.38
-24.39	-6.33	-2.78	-0.78	-0.29
-20.69	-2.20	-3.33	-0.75	-0.42
-22.42	-3.38	-4.43	-0.35	-0.26
-22.16	-6.73	-4.74	-0.15	-0.30
-23.33	-9.17	-5.20	-0.28	-0.39
-23.62	-7.21	-5.17	-0.61	-0.35
-27.74	-4.15	-6.03	-0.89	-0.38
-28.07	-2.43	-6.80	-0.97	-0.39
-27.57	-1.68	-6.65	-0.85	-0.34
-33.79	-1.32	-6.02	-1.07	-0.35
-36.22	-1.71	-5.56	-1.18	-0.31
-34.79	-1.88	-4.96	-1.32	-0.35
-32.41	-2.11	-5.50	-1.52	-0.42
-31.11	-2.51	-6.50	-1.80	-0.48
-26.30	-2.44	-6.80	-1.70	-0.43
-31.81	-2.96	-7.06	-1.19	-0.47
-38.41	-4.20	-7.51	-1.73	-0.45
-41.45	-4.46	-7.42	-2.26	-0.47
-41.60	-3.59	-7.83	-2.20	-0.31
-37.01	-4.11	-8.76	-2.82	-0.52
-33.14	-5.09	-9.07	-2.59	-0.53
-32.56	-7.42	-8.30	-2.70	-0.60
-32.45	-9.18	-7.95	-3.27	-0.68
-38.35	-9.68	-7.97	-3.05	-0.57
-43.64	-9.06	-8.80	-3.03	-0.61
-43.29	-10.19	-9.76	-3.18	-0.64
-37.07	-11.53	-9.98	-3.27	-0.63
-31.48	-11.63	-11.34	-3.65	-0.68
-28.46	-13.02	-10.70	-4.40	-0.84
-31.59	-13.82	-12.00	-4.59	-0.65
-33.81	-14.14	-14.38	-4.37	-0.97
-37.28	-16.33	-13.27	-4.15	-0.82
-32.74	-17.60	-12.46	-4.16	-1.02
-22.02	-18.24	-14.63	-3.72	-0.64
-25.75	-19.03	-15.58	-3.86	-0.96
-34.79	-24.12	-17.01	-4.04	-0.84
-40.85	-28.82	-18.36	-4.67	-0.97
-36.17	-31.96	-16.73	-4.69	-0.86
-32.34	-29.64	-17.84	-4.61	-0.89
-29.00	-25.76	-16.60	-5.66	-0.64
-24.66	-25.01	-17.73	-6.00	-0.77
-20.38	-27.83	-16.45	-5.76	-0.81
-19.59	-30.42	-15.14	-5.57	-0.81
-19.34	-32.22	-17.09	-5.79	-0.71
-21.44	-30.07	-19.57	-5.96	-0.51
-26.11	-31.43	-21.97	-5.69	-0.99
-27.03	-33.58	-21.54	-6.20	-1.04
-25.09	-38.08	-20.20	-6.64	-0.75
-18.60	-37.91	-21.57	-6.54	-1.07
-23.11	-36.92	-24.24	-6.40	-0.92
-23.66	-36.44	-20.41	-6.09	-0.83
-20.87	-33.51	-18.02	-6.61	-0.89
-18.88	-33.62	-17.38	-6.34	-0.95
-16.87	-38.03	-18.61	-6.83	-0.90
-23.00	-36.12	-20.84	-8.78	-0.86
-24.03	-35.04	-22.54	-10.03	-1.01
-19.99	-38.59	-22.13	-9.76	-1.02
-12.39	-38.93	-19.04	-9.37	-0.86
-11.87	-37.60	-15.74	-8.23	-0.82
-23.41	-37.55	-13.76	-8.03	-0.70
-25.17	-37.99	-17.30	-8.62	-0.93
-18.28	-39.22	-21.58	-10.17	-1.00
-11.52	-36.92	-22.20	-10.38	-1.04
-9.21	-33.89	-20.12	-11.25	-1.06
-11.13	-28.76	-17.28	-11.10	-0.80
-16.93	-26.01	-14.94	-11.26	-0.98
-16.42	-28.87	-17.09	-10.55	-0.64
-15.58	-33.07	-15.76	-10.17	-0.86
-18.70	-38.42	-14.57	-10.34	-0.71
-21.47	-33.63	-11.90	-12.06	-0.68
-14.85	-29.77	-11.31	-12.56	-0.64
-11.34	-30.14	-12.00	-12.42	-0.50
-11.44	-26.48	-15.25	-12.96	-0.95
-11.04	-25.17	-16.79	-11.91	-0.68
-14.53	-21.68	-15.44	-11.39	-0.53
-16.25	-16.89	-14.14	-13.28	-0.71
-18.81	-16.79	-8.17	-13.62	-1.00
-18.50	-17.59	-4.21	-12.58	-0.95
-17.45	-20.26	-6.77	-11.90	-0.64
-16.80	-19.67	-9.51	-12.35	-0.66
-11.79	-14.78	-7.01	-13.36	-0.79
-7.18	-13.20	-6.55	-14.15	-0.93
-6.27	-13.93	-7.55	-14.27	-0.65
-6.19	-10.23	-5.62	-12.68	-0.40
-7.94	-3.72	-5.74	-12.95	-0.78
-16.70	-2.60	-4.84	-12.65	-0.91
-19.71	-3.98	-3.58	-11.47	-0.83
-12.91	-4.95	-3.66	-10.64	-0.93
-10.15	-3.14	-3.53	-10.36	-1.00
-8.33	1.99	-4.05	-12.38	-0.79
-4.82	-0.11	-6.15	-13.57	-0.56
-3.60	3.10	-4.26	-13.31	-1.04
-7.91	-1.05	-3.81	-10.26	-0.34
-10.26	-2.45	0.99	-8.17	-0.55
-9.36	-0.59	4.27	-6.63	-0.40
-12.24	3.55	4.70	-6.79	-0.98
-17.14	6.10	4.54	-6.37	-0.70
-8.14	6.71	2.43	-6.61	-1.37
-2.55	7.22	2.90	-6.79	-0.79
-3.19	7.76	4.18	-7.30	-0.76
0.64	9.62	5.15	-8.64	-0.78
-0.46	9.64	3.68	-9.51	-0.83
-2.81	10.01	4.11	-7.86	-0.68
-5.41	11.27	3.50	-5.33	-0.93
-6.17	10.12	2.72	-5.58	-0.90
-0.50	10.91	1.65	-4.80	-0.74
0.36	9.44	2.06	-5.34	-1.05
5.32	7.09	3.94	-4.40	-0.81
7.30	6.35	5.66	-2.80	-0.96
4.23	7.13	4.49	-2.02	-0.96
2.61	8.33	2.11	-1.89	-0.71
4.42	12.02	-0.42	-2.15	-0.31
6.15	10.58	0.92	-3.39	-0.79
9.25	12.58	0.71	-2.99	-0.88
10.65	7.82	2.59	-3.63	-1.13
9.26	9.70	-0.58	-2.22	-1.35
7.49	8.80	-0.78	1.82	-0.95
7.53	8.93	1.92	2.66	-1.07
5.28	13.53	2.76	2.86	-0.64
10.03	13.92	1.61	1.96	-0.90
10.74	13.10	3.23	0.07	-0.98
11.35	9.28	2.72	0.46	-1.08
12.97	10.42	1.04	1.05	-0.90
16.51	11.14	3.05	2.08	-1.32
13.84	9.88	1.61	1.21	-1.32
16.33	8.69	-1.90	2.05	-1.37
12.37	6.89	-4.90	0.81	-1.03
12.89	10.70	-0.66	2.58	-1.27
10.88	8.20	-0.16	4.34	-1.26
16.41	8.06	-0.14	4.21	-1.15
17.90	4.50	-2.11	3.29	-1.41
17.14	2.08	-1.86	2.26	-1.43
13.65	-0.31	-3.07	0.82	-1.30
10.52	1.74	-6.45	0.28	-1.15
2.54	2.44	-5.89	3.48	-1.37
4.70	4.63	-5.20	3.77	-1.07
5.06	11.03	-6.47	4.69	-1.37
4.95	9.56	-2.72	1.31	-1.36
6.54	5.63	1.91	2.01	-0.98
6.43	-6.48	1.69	3.34	-1.38
5.27	-8.35	-3.50	2.80	-1.61
4.26	-0.80	-3.47	4.19	-1.32
4.64	2.79	-3.48	4.14	-1.20
4.53	10.42	-3.73	3.95	-1.67
6.50	3.86	-7.27	2.73	-1.64
8.24	-6.87	-9.12	2.74	-1.95
6.58	-11.36	-7.06	2.91	-2.23
6.55	-4.71	-4.88	2.75	-1.59
8.07	-0.04	-5.04	3.29	-1.55
8.88	0.87	-6.00	1.36	-0.61
9.78	-2.37	-7.83	2.26	-1.60
9.35	-5.92	-3.42	2.51	-2.72
9.21	-2.31	-0.34	1.94	-2.64
9.95	0.53	-3.21	-0.84	-1.60
10.27	-4.38	-4.51	0.07	-1.86
11.91	-8.24	-3.58	1.88	-1.48
13.68	-4.61	0.28	4.27	-2.33
13.73	-1.56	2.19	3.00	-2.62
13.43	-3.57	-1.26	1.60	-1.71
13.13	-3.09	-3.98	-0.25	-1.47
13.04	-0.92	-4.32	-1.91	-1.67
14.17	-4.89	-8.96	-2.95	-2.48
15.57	-7.60	-5.37	-0.96	-2.46
16.92	-8.53	-1.99	0.41	-2.65
15.54	-1.83	-1.70	-0.71	-2.81
15.99	1.94	-3.24	-2.46	-2.58
17.80	5.34	-2.43	-3.71	-1.78
17.59	5.37	-2.32	-3.35	-1.89
16.50	0.15	-2.78	-3.93	-2.37
15.75	0.05	-2.14	-4.13	-2.20
15.95	1.86	-2.46	-1.78	-1.91
17.42	2.38	-2.36	-0.65	-2.09
16.75	0.92	0.51	-0.90	-3.11
17.62	4.54	2.40	-3.32	-2.39
19.13	6.75	2.14	-4.13	-2.85
18.53	4.63	2.84	-5.55	-2.53
21.38	6.94	1.62	-6.24	-1.93
25.59	9.23	4.70	-2.89	-2.04
26.99	7.52	-0.05	-1.97	-2.19
24.69	7.86	1.73	-2.36	-2.45
18.62	10.66	1.04	-1.73	-2.61
16.07	14.25	0.05	-3.06	-2.17
20.80	15.35	2.15	-3.16	-2.72
26.94	16.34	0.18	-5.79	-3.00
30.46	14.45	2.47	-5.36	-2.95
35.13	13.58	4.17	-4.36	-2.12
33.20	17.31	5.06	-4.58	-2.72
33.17	17.55	3.82	-2.10	-2.51
36.06	19.37	1.15	0.62	-2.34
38.33	19.93	1.61	-3.83	-1.89
40.65	22.71	2.57	-7.60	-2.15
43.39	23.74	4.57	-6.68	-1.12
48.71	22.33	3.38	-3.22	-1.96
48.37	20.38	0.81	-2.36	-2.35
49.56	19.70	3.96	-1.20	-3.30
51.59	23.69	6.25	-1.63	-2.55
52.95	27.86	5.54	-2.35	-1.91
52.75	27.86	5.38	-0.78	-2.72
52.21	25.22	1.79	-1.01	-1.78
51.45	25.15	3.15	-4.50	-1.34
55.23	23.55	4.94	-3.75	-2.03
61.77	22.24	6.51	-1.49	-2.83
67.00	25.84	7.48	1.38	-2.87
70.46	34.43	11.16	0.25	-1.87
67.40	34.73	10.70	1.31	-1.29
68.65	30.28	9.12	-0.63	-2.16
56.19	24.22	9.18	-0.66	-1.89
56.98	23.60	6.87	-0.35	-1.98
60.45	25.46	4.65	2.07	-0.53
62.07	28.05	5.36	0.05	-1.07
58.94	29.84	7.22	-0.08	-1.25
57.08	30.08	8.10	1.95	-1.41
60.74	28.34	10.15	2.40	-1.70
65.93	28.61	10.22	0.46	-2.18
51.59	30.86	8.15	3.38	-0.68
70.71	33.23	9.10	3.92	-0.98
58.44	32.07	12.41	5.43	-1.06
74.81	17.00	15.44	3.51	-0.78
53.27	9.93	12.78	2.14	-1.03
53.71	10.16	8.08	0.72	-1.12
54.85	11.70	5.71	1.37	-0.51
57.25	13.76	7.37	3.98	-0.69
76.65	14.94	10.25	3.71	-0.07
54.01	14.74	12.84	2.46	0.10
55.02	12.68	9.84	1.91	-0.69
46.51	11.57	11.53	5.84	-0.95
48.75	11.56	15.20	3.55	-0.53
71.48	12.41	15.93	4.44	-0.43
71.41	13.17	14.23	2.02	0.17
40.78	14.43	12.63	3.62	0.26
66.71	15.84	12.87	3.10	-0.10
40.61	16.66	11.28	3.45	-0.40
39.23	16.52	12.85	3.59	-0.42
35.89	15.92	17.30	3.82	0.25
66.15	15.38	16.38	3.20	-0.03
64.90	15.77	15.21	5.42	0.02
35.47	15.40	13.35	6.80	0.29
64.69	17.73	12.64	6.07	-0.56
64.32	18.09	12.25	4.47	-0.01
30.71	20.08	12.80	3.01	0.93
30.35	19.39	13.17	3.76	0.50
40.69	15.68	13.77	3.45	0.09
17.45	14.99	13.31	2.16	0.28
58.79	16.75	13.75	4.03	0.26
59.94	19.74	13.87	4.25	-0.32
58.97	22.75	16.16	5.30	-0.64
58.62	23.01	9.79	6.75	-0.16
59.16	22.98	3.78	5.49	0.56
57.84	26.31	3.34	2.69	-0.06
21.90	32.47	3.71	0.51	1.03
59.20	33.56	3.96	2.18	1.09
59.51	32.84	3.85	1.13	0.56
-41.10	32.37	3.14	1.16	0.91
-193.24	34.29	3.67	4.48	0.76
-356.46	37.90	4.22	2.36	-0.31
-370.12	39.14	3.55	3.50	0.39
-196.68	38.62	2.55	2.05	0.97
-50.60	40.29	2.32	2.63	1.60
-39.20	41.71	2.99	3.26	0.92
-105.21	44.41	4.15	3.20	0.45
-200.98	42.38	4.84	0.90	0.28
-249.97	40.67	5.59	0.37	0.55
-248.22	42.80	4.87	2.66	0.83
-214.05	47.22	4.44	2.98	1.22
-180.54	51.07	5.01	2.35	0.24
-185.88	49.85	6.26	0.10	1.34
-224.88	52.09	7.30	0.93	-0.01
-241.25	48.37	7.82	4.04	1.83
-244.92	47.55	7.90	3.88	0.96
-231.90	46.51	8.00	2.62	1.11
-218.21	52.55	7.71	2.13	0.48
-224.25	58.06	4.62	-0.01	-0.19
-232.25	62.75	5.47	1.77	-0.93
-229.94	58.75	5.61	1.24	-0.84
-217.75	52.14	6.68	1.06	0.09
-207.96	51.27	7.19	0.97	0.59
-213.29	49.92	6.48	0.04	0.38
-219.91	51.32	6.54	-0.47	1.11
-225.29	53.62	6.63	-0.36	0.52
-210.70	51.49	7.03	2.48	0.21
-198.62	60.55	7.16	3.79	0.45
-188.31	54.16	6.93	4.43	0.21
-170.51	54.23	6.90	2.37	0.14
-159.80	56.46	7.39	-0.63	-0.33
-168.33	51.89	7.89	0.29	0.39
-159.42	51.32	7.81	1.34	0.28
-147.57	55.59	8.20	1.11	1.12
-130.05	60.34	8.21	0.64	0.36
-125.97	51.60	8.66	2.71	-0.40
-119.26	45.07	9.16	1.36	-0.44
-107.01	51.47	8.53	1.93	-0.92
-90.39	52.52	8.32	-0.37	0.33
-74.01	45.56	7.79	-2.64	0.78
-63.13	50.25	7.92	0.03	1.10
-58.08	40.71	8.30	2.01	0.64
-47.67	47.73	8.67	3.17	0.15
-40.11	40.62	9.41	2.45	-0.77
-22.66	38.77	10.58	1.76	-0.59
-12.20	44.34	12.13	1.50	-0.37
4.63	55.82	12.48	1.17	-0.10
17.01	51.34	11.16	1.78	-0.19
28.46	37.43	10.73	2.39	0.51
37.77	24.63	12.01	3.73	0.88
47.31	37.74	16.18	5.30	0.43
53.04	38.31	19.92	4.35	-0.60
63.42	46.00	22.59	2.03	-0.69
78.68	38.40	23.17	0.75	-0.71
88.52	40.44	21.77	0.79	0.03
98.10	84.60	22.91	3.93	0.65
111.41	-5.45	20.75	4.34	0.50
117.59	-127.19	22.56	3.75	0.36
119.26	-258.02	26.52	3.55	-0.18
121.61	-307.21	29.46	5.52	0.06
127.96	-217.80	28.68	5.63	0.15
137.13	-95.30	29.39	5.99	0.15
146.29	-51.83	31.31	5.83	-0.14
153.01	-69.78	29.92	4.70	-0.64
157.75	-152.08	30.57	4.47	0.01
164.10	-215.40	30.45	3.68	-1.06
165.47	-236.28	31.70	4.62	-1.24
165.42	-223.03	32.26	5.47	-2.14
164.91	-189.39	34.05	5.83	-0.58
164.00	-176.91	33.23	4.37	-1.27
164.30	-184.70	30.90	3.72	-0.68
164.55	-194.98	31.87	3.49	-0.19
164.57	-211.60	30.89	3.29	-0.53
164.72	-216.89	33.03	4.81	-1.83
164.58	-197.83	34.14	6.47	-0.48
164.43	-183.22	34.85	6.53	0.19
164.02	-193.44	32.93	6.35	-0.34
163.50	-197.15	32.22	5.05	-0.55
163.21	-209.82	33.67	3.50	-0.82
162.81	-208.55	34.30	3.39	0.04
114.03	-212.91	36.80	3.82	-0.78
113.78	-196.88	32.69	5.27	-1.05
113.42	-188.74	30.61	5.96	-1.39
112.92	-183.18	30.08	5.73	-1.66
112.29	-180.16	28.97	4.68	0.04
111.89	-168.42	32.46	3.31	-0.94
111.06	-176.20	35.95	3.26	-1.15
109.98	-175.82	32.02	4.24	-0.72
109.36	-165.37	26.24	5.89	0.45
108.52	-155.57	26.93	6.34	0.30
107.71	-147.34	27.41	5.73	-0.68
106.68	-128.95	27.37	4.88	0.32
73.68	-114.10	25.26	2.45	-0.06
36.37	-113.40	26.52	2.10	-0.68
29.83	-106.77	27.83	2.17	-0.98
50.77	-99.12	26.18	2.20	-0.46
73.77	-97.03	24.36	2.32	-0.45
81.75	-82.63	25.58	1.70	-0.68
74.76	-73.51	25.25	2.01	-1.33
55.01	-63.37	22.35	2.11	-1.16
34.01	-47.01	22.49	2.20	-0.89
23.72	-37.32	23.20	2.38	-0.11
25.47	-27.71	19.64	2.65	1.07
34.61	-20.26	19.80	2.54	-0.39
38.10	-14.25	20.00	2.22	0.34
32.92	-0.69	21.78	2.29	0.28
19.58	10.36	23.50	2.68	-1.13
6.74	23.19	24.16	2.93	-2.43
0.33	31.89	22.95	2.34	-1.46
1.20	38.82	23.23	1.94	-0.73
2.43	44.39	20.30	2.36	0.40
0.14	53.91	20.43	2.39	0.85
-6.26	67.38	20.02	2.25	-0.57
-12.19	78.81	17.94	2.40	-0.20
-16.41	87.17	19.06	2.81	-0.51
-19.28	96.24	14.70	3.05	-0.16
-23.15	103.00	15.28	3.38	-0.49
-25.09	107.18	18.56	3.56	0.49
-27.13	111.06	18.77	3.58	-0.43
-27.89	114.86	17.81	3.12	-0.82
-29.90	120.73	20.09	2.82	-0.74
-33.92	124.69	25.22	3.43	-0.24
-38.36	128.73	21.72	4.20	0.36
-40.59	136.71	15.16	4.16	0.87
-37.34	142.37	9.36	4.51	0.33
-37.14	143.39	8.82	4.15	-1.06
-38.60	147.55	18.18	3.81	-1.66
-38.23	149.49	24.85	4.26	-0.64
-38.44	149.29	22.19	5.13	-0.16
-42.86	153.49	17.00	5.28	-0.46
-43.30	155.60	13.50	5.31	-1.29
-45.25	156.14	11.73	5.10	-0.60
-42.58	152.78	14.38	5.21	-0.43
-37.21	150.69	8.39	5.25	1.09
-30.61	151.78	15.92	5.48	-0.32
-31.43	153.49	22.72	5.17	-0.76
-33.15	151.09	19.91	5.33	0.47
-34.85	147.48	15.84	5.28	-0.37
-33.42	143.27	14.09	5.22	-0.51
-33.26	136.41	13.17	5.75	-0.15
-29.83	125.66	11.53	6.74	-0.59
-27.31	112.99	17.13	7.14	0.01
-27.01	103.18	-23.35	6.74	-0.53
-28.31	95.47	-107.35	5.97	-0.81
-25.78	89.74	-184.11	5.11	-0.27
-26.33	84.55	-199.07	5.24	-0.12
-20.87	81.02	-177.14	5.63	-0.69
-14.83	75.52	-119.05	6.65	0.44
-12.07	69.99	-74.21	6.72	-0.70
-9.89	65.73	-86.24	7.09	-0.82
-9.82	60.50	-113.45	6.74	-0.10
-6.61	56.49	-147.23	6.52	1.11
-4.69	54.46	-165.05	5.86	0.78
-4.03	50.03	-158.63	6.38	-0.07
-3.22	42.41	-159.25	6.16	-0.02
-2.60	36.65	-148.09	6.53	-1.57
0.52	32.74	-152.63	5.99	-0.66
1.22	29.93	-152.81	5.94	-0.24
0.63	26.99	-144.13	6.11	0.07
0.53	22.05	-137.70	5.54	1.17
1.18	16.91	-140.64	5.90	0.43
7.41	11.98	-138.42	5.85	-0.09
17.70	7.79	-138.98	6.27	-0.33
21.30	3.60	-137.54	8.44	-0.19
20.54	0.28	-139.92	8.69	-0.77
16.24	-4.56	-142.21	8.55	-0.70
12.75	-7.74	-142.11	9.75	-0.04
9.13	-10.98	-138.37	9.88	0.53
10.59	-13.77	-132.63	10.08	0.21
16.23	-18.01	-131.34	9.89	0.16
18.38	-20.66	-123.42	10.44	-0.45
17.03	-23.93	-126.69	14.44	-0.51
11.76	-27.67	-119.47	16.16	-0.65
10.58	-29.87	-116.37	16.47	-0.14
9.92	-30.88	-102.82	14.97	1.23
14.24	-30.88	-99.84	14.77	0.54
16.75	-31.23	-93.62	14.44	0.19
20.91	-31.82	-92.59	15.74	-0.29
22.09	-35.66	-86.08	17.74	-0.84
17.57	-39.14	-78.65	19.15	0.31
15.38	-39.35	-76.22	17.33	-0.73
15.64	-37.07	-67.43	16.28	-0.32
16.01	-36.75	-60.84	17.82	-0.06
15.69	-37.26	-51.86	19.48	1.20
14.29	-38.29	-41.19	20.51	0.88
11.67	-39.77	-34.34	20.84	0.93
10.79	-43.72	-31.29	21.56	-0.06
13.85	-33.36	-24.48	19.87	0.90
17.31	-14.73	-16.25	19.54	0.48
21.80	-14.91	-14.36	19.82	0.10
21.45	-15.92	-6.17	19.24	0.17
16.90	-14.38	4.33	20.46	0.84
10.94	-13.52	15.56	21.14	0.64
8.95	-13.44	19.86	21.80	-0.06
4.81	-11.86	19.91	21.70	0.11
5.02	-11.19	28.13	20.42	-0.19
6.86	-12.12	33.35	18.73	-0.24
10.57	-12.61	36.21	19.47	-0.70
12.64	-14.14	42.29	19.06	0.10
9.55	-13.37	50.44	19.02	-0.21
1.01	-12.39	55.42	20.12	0.61
-4.20	-12.10	62.27	19.49	1.02
-2.48	-11.73	65.46	16.36	0.23
1.81	-12.23	67.69	16.85	0.30
3.42	-11.25	67.61	17.75	1.10
2.86	-10.87	74.42	18.89	-0.33
-0.94	-9.92	82.22	18.91	0.22
-5.30	-9.83	88.06	16.09	-0.36
-10.84	-10.31	90.62	15.79	0.23
-15.05	-10.54	90.68	15.65	-0.19
-16.90	-9.70	90.25	16.96	-0.26
-15.47	-7.66	89.35	16.37	0.19
-13.74	-7.40	93.18	15.20	0.01
-16.02	-6.90	93.15	14.54	-1.00
-21.02	-5.43	98.20	11.00	0.16
-24.66	-5.76	98.23	11.68	-0.39
-22.19	-5.05	97.87	12.60	-1.07
-19.54	-4.02	98.51	14.00	-0.12
-19.91	-3.42	97.71	16.03	0.22
-22.04	-3.37	95.85	14.26	-0.21
-22.86	-1.37	95.25	12.93	0.27
-24.41	0.39	91.34	8.00	-0.15
-27.62	4.49	88.64	8.21	0.75
-31.95	3.15	80.65	9.19	0.58
-34.63	2.03	73.98	5.86	-0.54
-36.00	0.74	65.88	10.78	0.84
-33.54	1.10	58.98	12.96	0.32
-34.14	4.05	51.74	11.99	1.09
-35.96	8.07	47.53	10.80	-1.18
-40.38	10.89	43.99	7.87	-0.46
-41.15	13.54	45.63	4.83	0.29
-40.54	13.84	45.85	2.93	-0.08
-41.02	14.68	45.11	7.43	0.74
-41.39	14.25	41.61	9.69	-0.16
-44.14	13.16	34.81	8.98	-0.94
-47.38	15.91	30.98	11.01	0.05
-45.75	17.87	29.97	10.32	0.41
-44.73	20.35	30.84	6.59	0.24
-45.99	18.62	31.61	-0.81	-0.93
-46.76	17.16	28.74	4.11	-0.58
-42.13	15.82	24.25	5.68	-0.81
-39.69	17.83	22.21	3.94	-1.06
-42.20	19.08	20.21	5.74	-0.44
-46.94	16.09	18.82	6.31	-0.20
-49.60	18.51	15.72	3.60	-0.64
-48.82	19.48	15.76	7.47	-1.00
-43.96	23.72	16.33	6.88	-0.75
-40.60	26.36	16.20	10.36	0.00
-40.02	23.94	12.43	5.18	-0.94
-42.87	19.13	9.43	3.84	-0.95
-42.67	16.06	6.02	3.13	-0.01
-40.08	17.14	2.00	3.22	1.00
-39.21	18.30	0.85	4.05	-1.07
-40.91	17.11	2.07	9.20	-2.03
-41.41	14.53	3.07	11.10	-1.10
-39.52	13.26	3.65	10.91	1.19
-35.56	15.12	1.61	13.07	1.68
-36.10	17.76	-0.28	5.86	0.65
-36.23	17.43	-3.66	3.43	0.03
-37.13	13.34	-3.49	4.51	-1.22
-38.31	9.74	-7.11	10.17	-1.22
-40.45	9.30	-9.03	14.07	-0.27
-36.89	14.14	-6.79	9.99	0.63
-34.88	11.98	-4.68	7.33	-0.09
-38.07	11.65	-5.53	5.77	-0.28
-36.30	12.32	-7.88	9.75	0.42
-37.09	8.79	-10.90	12.73	0.13
-38.38	6.61	-12.43	11.99	0.76
-42.46	5.41	-12.00	10.43	-0.46
-47.75	5.09	-10.69	13.76	0.45
-49.96	3.34	-7.92	16.48	0.77
-38.74	0.72	-7.58	14.33	1.41
-30.92	-4.03	-8.64	14.02	0.31
-36.69	-2.48	-9.17	10.98	-0.24
-39.19	-0.61	-1.03	10.05	-0.06
-39.07	2.74	-0.40	11.23	-0.21
-36.06	5.80	-1.13	12.02	0.46
-37.55	4.62	-1.43	15.09	1.16
-29.61	0.54	-1.89	15.29	0.74
-27.70	-9.00	-1.40	15.02	-0.61
-28.91	-11.06	-1.69	15.71	1.02
